Game.1,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Release_year,Mycol,Release,Month_Since_Released
Salt and Sanctuary,Leadman Games,,,,,11th Dec 18,18,2018-12-11,2018-12-11,721.0
Code of Princess EX Read the review,Nicalis,6.0,7.2,,,31st Jul 18,18,2018-07-31,2018-07-31,854.0
Naruto Shippuden: Ultimate Ninja Storm Trilogy,Bandai Namco Games,,7.5,,,26th Apr 18,18,2018-04-26,2018-04-26,950.0
Aqua Moto Racing Utopia,Big Ben Interactive,,,,,27th Mar 18,18,2018-03-27,2018-03-27,980.0
Flashback,Maximum Games,,,,,20th Nov 18,18,2018-11-20,2018-11-20,742.0
de Blob 2,THQ Nordic,,,,,28th Aug 18,18,2018-08-28,2018-08-28,826.0
SUPERBEAT: XONiC,PM Studios,,,,,21st Nov 17,17,2017-11-21,2017-11-21,1106.0
Darkest Dungeon,Merge Games,,,,,24th Apr 18,18,2018-04-24,2018-04-24,952.0
Sumikko Gurashi Atsumare Sumikko Town,Nippon Columbia,,,,,04th Oct 18,18,2018-10-04,2018-10-04,789.0
Mega Man X Legacy Collection 1+2,Capcom,,,,,24th Jul 18,18,2018-07-24,2018-07-24,861.0
Nobunaga's Ambition: Sphere of Influence with Power-Up Kit,Tecmo Koei,,,,,03rd Mar 17,17,2017-03-03,2017-03-03,1369.0
Adventure Time: Pirates of the Enchiridion,Outright Games,,,,,17th Jul 18,18,2018-07-17,2018-07-17,868.0
Kamen Rider: Climax Scramble Zi-O,Bandai Namco Games,,,,,29th Nov 18,18,2018-11-29,2018-11-29,733.0
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,Tecmo Koei,,,,,27th Mar 18,18,2018-03-27,2018-03-27,980.0
Dragon Quest X: All in One Package Ver.1-4,Square Enix,,,,,26th Jul 18,18,2018-07-26,2018-07-26,859.0
Penny-Punching Princess,NIS America,,6.5,9.0,,03rd Apr 18,18,2018-04-03,2018-04-03,973.0
Let's Sing 2018,Koch Media,,,,,24th Nov 17,17,2017-11-24,2017-11-24,1103.0
The Longest 5 Minutes,NIS America,,,,,13th Feb 18,18,2018-02-13,2018-02-13,1022.0
SNK 40th Anniversary Collection Read the review,NIS America,7.0,,7.5,,13th Nov 18,18,2018-11-13,2018-11-13,749.0
Yonder: The Cloud Catcher Chronicles,Merge Games,,,,,12th Jun 18,18,2018-06-12,2018-06-12,903.0
The Town of Light,Wired Productions,,,,,01st Jan 18,18,2018-01-01,2018-01-01,1065.0
The Lost Child Read the review,NIS America,5.0,7.5,,,19th Jun 18,18,2018-06-19,2018-06-19,896.0
God Wars The Complete Legend,NIS America,,,,,04th Sep 18,18,2018-09-04,2018-09-04,819.0
Death Mark,Aksys Games,,,,,31st Oct 18,18,2018-10-31,2018-10-31,762.0
PriPara All Idol Perfect Stage!,Unknown,,,,,,,,,
Dragon Quest X: 5000-nen no Harukanaru Kokyou e Online,Square Enix,,,,,16th Nov 17,17,2017-11-16,2017-11-16,1111.0
"Soldam: Drop, Connect, Erase",Dispatch Games,,,,,10th Oct 17,17,2017-10-10,2017-10-10,1148.0
Syberia,Microids,,,,,20th Oct 17,17,2017-10-20,2017-10-20,1138.0
88 Heroes: 98 Heroes Edition,Rising Star Games,,,,,10th Oct 17,17,2017-10-10,2017-10-10,1148.0
Labyrinth of Refrain: Coven of Dusk,NIS America,,,,,18th Sep 18,18,2018-09-18,2018-09-18,805.0
