Game.1,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Release_year,Mycol,Release,Month_Since_Released
Nelke & the Legendary Alchemists: Ateliers of the New World,Koei Tecmo,,,,,26th Mar 19,19,2019-03-26,2019-03-26,616.0
Neon Abyss,Veewo Games,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
Neon Chrome,10tons,,,,,12th Oct 17,17,2017-10-12,2017-10-12,1146.0
Neon City Riders,Bromio,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Neon Junctions,9 Eyes Game Studio,,,,,07th Jun 19,19,2019-06-07,2019-06-07,543.0
Neonwall Read the review,JanduSoft S.L.,6.0,,,,15th Mar 18,18,2018-03-15,2018-03-15,992.0
NeuroVoider,Plug In Digital,,,,,07th Sep 17,17,2017-09-07,2017-09-07,1181.0
Never Stop Sneakin',Humble Hearts,,,,,14th Dec 17,17,2017-12-14,2017-12-14,1083.0
Neverwinter Nights: Enhanced Edition,Beamdog,,,,,03rd Dec 19,19,2019-12-03,2019-12-03,364.0
New Frontier Days: Founding Pioneers,Arc System Works,,,,,23rd Mar 17,17,2017-03-23,2017-03-23,1349.0
New Pokémon Snap,Nintendo,,,,,31st Dec 20,20,2020-12-31,2020-12-31,-30.0
New Super Lucky’s Tale,Playful,,,,,08th Nov 19,19,2019-11-08,2019-11-08,389.0
Newt One,DevNAri,,,,,30th Aug 19,19,2019-08-30,2019-08-30,459.0
Next Up Hero,"Aspyr Media, Inc.",,,,,01st Apr 18,18,2018-04-01,2018-04-01,975.0
Ni no Kuni: Wrath of the White Witch,Bandai Namco Entertainment,,,,,20th Sep 19,19,2019-09-20,2019-09-20,438.0
Nickelodeon Kart Racers 2: Grand Prix,GameMill Entertainment,,,,,06th Oct 20,20,2020-10-06,2020-10-06,56.0
Night In The Woods,Finji,,,,,01st Feb 18,18,2018-02-01,2018-02-01,1034.0
Nightmare Boy,Badland Games,,,,,16th Jan 18,18,2018-01-16,2018-01-16,1050.0
Nine Parchments,Frozenbyte,,,,,05th Dec 17,17,2017-12-05,2017-12-05,1092.0
Ninja JaJaMaru Collection,City Connection,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
Ninja Shodown,Rising Star Games,,,,,05th Oct 17,17,2017-10-05,2017-10-05,1153.0
Ninjala,GungHo,,,,,24th Jun 20,20,2020-06-24,2020-06-24,160.0
Ninjin: Clash of Carrots Read the review,Modus Games,6.0,,,,04th Sep 18,18,2018-09-04,2018-09-04,819.0
Nintendo Labo: Toy-Con 04 VR Kit,Nintendo,,,,,12th Apr 19,19,2019-04-12,2019-04-12,599.0
No More Heroes III,Marvelous,,,,,31st Dec 20,20,2020-12-31,2020-12-31,-30.0
No Straight Roads,Unknown,,,,,,,,,
NO THING,Forever Entertainment S.A.,,,,,22nd Mar 18,18,2018-03-22,2018-03-22,985.0
Nom Nom Apocalypse,Unknown,,,,,,,,,
"Nora, Princess, and Crying Cat",Piacci,,,,,28th Feb 19,19,2019-02-28,2019-02-28,642.0
Norman's Great Illusion,Unknown,,,,,,,,,
NORTH,Unknown,,,,,,,,,
Northgard Read the review,Unknown,7.0,,,,,,,,
Nuclien,Springloaded,,,,,19th Jan 18,18,2018-01-19,2018-01-19,1047.0
Oceanhorn 2: Knights of the Lost Realm Read the review,Unknown,6.0,,,,,,,,
Oceanhorn: Monster of Uncharted Seas,FDG Entertainment,,,,,22nd Jun 17,17,2017-06-22,2017-06-22,1258.0
Octodad: Dadliest Catch,Young Horses,,,,,09th Nov 17,17,2017-11-09,2017-11-09,1118.0
Odallus: The Dark Call Read the review,Digerati,6.0,,,,08th Feb 19,19,2019-02-08,2019-02-08,662.0
Oddworld: Abe's Oddysee New N' Tasty!,Oddworld Inhabitants,,,,,27th Oct 20,20,2020-10-27,2020-10-27,35.0
Of Mice and Sand: Revised,Arc System Works,,,,,11th Jan 18,18,2018-01-11,2018-01-11,1055.0
Oh...Sir! The Hollywood Roast,Gambitious,,,,,18th Jan 18,18,2018-01-18,2018-01-18,1048.0
Oh...Sir! The Insult Simulator,Gambitious,,,,,18th Jan 18,18,2018-01-18,2018-01-18,1048.0
Old Man's Journey Read the review,Broken Rules,5.0,,8.8,,20th Feb 18,18,2018-02-20,2018-02-20,1015.0
OlliOlli: Switch Stance,Gambitious,,,,,14th Feb 19,19,2019-02-14,2019-02-14,656.0
Olympic Games Tokyo 2020 - The Official Video Game,Sega,,,,,31st Dec 20,20,2020-12-31,2020-12-31,-30.0
One Eyed Kutkh,Sometimes You,,,,,09th Mar 18,18,2018-03-09,2018-03-09,998.0
One More Dungeon,Ratalaika Games,,,6.0,,14th Dec 17,17,2017-12-14,2017-12-14,1083.0
One Night Stand,Kinmoku,,,,,04th Oct 19,19,2019-10-04,2019-10-04,424.0
One Piece: Pirate Warriors 4,Bandai Namco Entertainment,,,,,27th Mar 20,20,2020-03-27,2020-03-27,249.0
One Way Heroics Plus,Unknown,,,,,,,,,
Oniken: Unstoppable Edition Read the review,Unknown,5.0,,7.0,,,,,,
Onimusha Warlords,Capcom,,,,,15th Jan 19,19,2019-01-15,2019-01-15,686.0
Oninaki,Square Enix,,,,,22nd Aug 19,19,2019-08-22,2019-08-22,467.0
OPUS: Collection,PM Studios,,,,,26th Feb 19,19,2019-02-26,2019-02-26,644.0
OPUS: Rocket of Whispers,Flyhigh Works,,,,,22nd Mar 18,18,2018-03-22,2018-03-22,985.0
OPUS: The Day We Found Earth,Flyhigh Works,,,,,30th Nov 17,17,2017-11-30,2017-11-30,1097.0
Ori and the Blind Forest: Definitive Edition,Xbox Game Studios,,,8.3,,27th Sep 19,19,2019-09-27,2019-09-27,431.0
Ori and the Will of the Wisps,iam8bit,,,9.7,,17th Sep 20,20,2020-09-17,2020-09-17,75.0
Orn: The Tiny Forest Sprite,FIVE12 GAMES,,,,,24th Jan 20,20,2020-01-24,2020-01-24,312.0
Ostwind/Windstorm,EuroVideo Medien,,,,,14th Dec 17,17,2017-12-14,2017-12-14,1083.0
Othello,Arc System Works,,,,,23rd Mar 17,17,2017-03-23,2017-03-23,1349.0
Othercide,Unknown,,,,,,,,,
Our World Is Ended.,PQube,,,,,26th Mar 19,19,2019-03-26,2019-03-26,616.0
Outlast II,Red Barrels,,,,,27th Mar 18,18,2018-03-27,2018-03-27,980.0
Outlast: Bundle of Terror,Red Barrels,,,,,27th Feb 18,18,2018-02-27,2018-02-27,1008.0
Overland,Finji,,,,,19th Sep 19,19,2019-09-19,2019-09-19,439.0
Overwatch,Blizzard Entertainment,,,,,15th Oct 19,19,2019-10-15,2019-10-15,413.0
Overwatch 2,Unknown,,,,,,,,,
Oxenfree,Night School Studio,,,,,06th Oct 17,17,2017-10-06,2017-10-06,1152.0
Pac-Man: Championship Edition 2 Plus,Bandai Namco Entertainment,,,,,22nd Feb 18,18,2018-02-22,2018-02-22,1013.0
Packet Queen #,Studio F-Sharp,,,,,01st Mar 18,18,2018-03-01,2018-03-01,1006.0
Paladins,Hi-Rez Studios,,,8.0,,12th Jun 18,18,2018-06-12,2018-06-12,903.0
Pan-Pan,Might and Delight,,,,,14th Sep 17,17,2017-09-14,2017-09-14,1174.0
Pandemic,Asmodee Digital,,,,,01st Aug 19,19,2019-08-01,2019-08-01,488.0
Pang Adventures Read the review,Unknown,6.0,,,,,,,,
Pankapu,Plug In Digital,,,,,28th Sep 17,17,2017-09-28,2017-09-28,1160.0
Pantsu Hunter: Back to the 90s Read the review,Unknown,3.0,,,,,,,,
Panty Party,Unknown,,,,,,,,,
Panzer Dragoon,Forever Entertainment S.A.,,,,,31st Dec 20,20,2020-12-31,2020-12-31,-30.0
Paper Wars: Cannon Fodder Devastated,iFun4all,,,,,01st Mar 18,18,2018-03-01,2018-03-01,1006.0
Paranautical Activity,Digerati,,,4.0,,28th Jun 18,18,2018-06-28,2018-06-28,887.0
Party Golf,Giant Margarita,,,,,19th Oct 17,17,2017-10-19,2017-10-19,1139.0
Pass The Punch,Sumo Digital,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
Pathfinder: Kingmaker,Deep Silver,,,,,25th Dec 20,20,2020-12-25,2020-12-25,-24.0
Penguin Wars,Unknown,,,,,,,,,
Perception,Feardemic,,6.0,7.9,,31st Oct 17,17,2017-10-31,2017-10-31,1127.0
Persian Nights: Sands Of Wonders,Artifex Mundi sp. z o.o.,,,7.5,,17th Aug 18,18,2018-08-17,2018-08-17,837.0
Persona 5 Scramble: The Phantom Strikers,Atlus,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
PGA Tour 2K21,2K Sports,,,,,21st Aug 20,20,2020-08-21,2020-08-21,102.0
Phantasy Star Online 2: Cloud,Sega,,,,,04th Apr 18,18,2018-04-04,2018-04-04,972.0
Phantasy Star Online 2: New Genesis,Unknown,,,,,,,,,
Phantom Breaker: Battle Grounds Overdrive,MAGES,,,,,07th Dec 17,17,2017-12-07,2017-12-07,1090.0
Phantom Trigger,TinyBuild Games,,,,,10th Aug 17,17,2017-08-10,2017-08-10,1209.0
Phoenix Wright: Ace Attorney Trilogy Read the review,Capcom,6.0,,,,09th Apr 19,19,2019-04-09,2019-04-09,602.0
Physical Contact: 2048,Collavier Corporation,,,,,07th Sep 17,17,2017-09-07,2017-09-07,1181.0
Physical Contact: Picture Place,Collavier Corporation,,,,,28th Sep 17,17,2017-09-28,2017-09-28,1160.0
Physical Contact: SPEED,Collavier Corporation,,,,,27th Jul 17,17,2017-07-27,2017-07-27,1223.0
Pic-a-Pix Deluxe,Unknown,,,,,,,,,
Picross S,Jupiter Corporation,,,8.5,,28th Sep 17,17,2017-09-28,2017-09-28,1160.0
Picross S3,Jupiter Corporation,,,,,25th Apr 19,19,2019-04-25,2019-04-25,586.0
Picross S4,Jupiter Corporation,,,,,23rd Apr 20,20,2020-04-23,2020-04-23,222.0
Piczle Lines DX,Score Studios,,,6.9,,24th Aug 17,17,2017-08-24,2017-08-24,1195.0
Piczle Puzzle Pack 3-in-1,Rainy Frog,,,,,25th Apr 19,19,2019-04-25,2019-04-25,586.0
Pikmin 3 Deluxe,Nintendo,,,,,30th Oct 20,20,2020-10-30,2020-10-30,32.0
Pikuniku,Devolver Digital,,,,,24th Jan 19,19,2019-01-24,2019-01-24,677.0
Pillars of Eternity II: Deadfire,Versus Evil,,,,,30th Dec 18,18,2018-12-30,2018-12-30,702.0
Pillars of Eternity: Complete Edition Read the review,Versus Evil,7.0,,,,08th Aug 19,19,2019-08-08,2019-08-08,481.0
Pilot Sports Read the review,EuroVideo Medien,4.0,,,,27th Sep 18,18,2018-09-27,2018-09-27,796.0
Pinball FX 3,Zen Studios,,,,,12th Dec 17,17,2017-12-12,2017-12-12,1085.0
Pitfall Planet,Abstraction Games,,,,,04th Apr 19,19,2019-04-04,2019-04-04,607.0
PixARK,Snail Game,,,,,31st May 19,19,2019-05-31,2019-05-31,550.0
Plague Road,Arcade Distillery,,,,,07th Dec 17,17,2017-12-07,2017-12-07,1090.0
Planescape: Torment: Enhanced Edition,Beamdog,,,,,24th Sep 19,19,2019-09-24,2019-09-24,434.0
Plantera Deluxe,Ratalaika Games,,,,,07th Dec 17,17,2017-12-07,2017-12-07,1090.0
Please Be Happy,Sekai Project,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Pocket League Story,"Kairosoft Co.,Ltd",,,,,16th May 19,19,2019-05-16,2019-05-16,565.0
Pocket Rumble,Chucklefish,,,,,30th Dec 18,18,2018-12-30,2018-12-30,702.0
Pode Read the review,Henchman & Goon,6.0,,9.0,,01st May 18,18,2018-05-01,2018-05-01,945.0
Poisoft Thud Card,Poisoft,,,,,01st Mar 18,18,2018-03-01,2018-03-01,1006.0
Pokémon Café Mix,Nintendo,,,,,23rd Jun 20,20,2020-06-23,2020-06-23,161.0
Pokémon Quest,Nintendo,,,,,29th May 18,18,2018-05-29,2018-05-29,917.0
Pokémon Unite,Unknown,,,,,31st Dec 20,20,2020-12-31,2020-12-31,-30.0
Poly Bridge,Dry Cactus Limited,,,,,14th Dec 17,17,2017-12-14,2017-12-14,1083.0
POOL,Sabec Limited,,,,,20th Feb 18,18,2018-02-20,2018-02-20,1015.0
Pool BILLIARD,D3Publisher,,,,,15th Feb 18,18,2018-02-15,2018-02-15,1020.0
Pool Panic,Adult Swim,,,,,01st Dec 18,18,2018-12-01,2018-12-01,731.0
Postal Redux,MD Games,,,,,16th Oct 20,20,2020-10-16,2020-10-16,46.0
Power Rangers: Battle for the Grid,nWay,,,,,26th Mar 19,19,2019-03-26,2019-03-26,616.0
Premium Pool Arena,Bigben Interactive,,,,,06th Feb 18,18,2018-02-06,2018-02-06,1029.0
PriPara: All Idol Perfect Stage,Takara Tomy ARTS,,,,,22nd Mar 18,18,2018-03-22,2018-03-22,985.0
Private Bellbara Academy: Rose of Versailles Re*imagination,Idea Factory,,,,,23rd May 19,19,2019-05-23,2019-05-23,558.0
Project Nimbus: Complete Edition,GameTomo,,,,,16th May 19,19,2019-05-16,2019-05-16,565.0
Project Warlock,Crunching Koalas,,,,,11th Jun 20,20,2020-06-11,2020-06-11,173.0
Projection: First Light,Blowfish Studios,,,,,29th Sep 20,20,2020-09-29,2020-09-29,63.0
ProtoCorgi,Unknown,,,,,,,,,
Psikyo Shooting Stars Alpha Read the review,NIS America,7.0,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Psikyo Shooting Stars Bravo Read the review,NIS America,6.0,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Psyvariar Delta,City Connection,,,,,11th Jul 19,19,2019-07-11,2019-07-11,509.0
Pumpkin Jack,Headup Games,,,,,23rd Oct 20,20,2020-10-23,2020-10-23,39.0
Puru-Chara Friends: Hoppe-chan to Sanrio Characters,Neos,,,,,25th Apr 19,19,2019-04-25,2019-04-25,586.0
Putty Pals,Harmonious Games,,,,,18th Oct 17,17,2017-10-18,2017-10-18,1140.0
Puyo Puyo Tetris 2,Sega,,,,,08th Dec 20,20,2020-12-08,2020-12-08,-7.0
Puzzle & Dragons GOLD,GungHo Online Entertainment,,,,,15th Jan 20,20,2020-01-15,2020-01-15,321.0
Puzzle Adventure Blockle,Intense,,,,,03rd Aug 17,17,2017-08-03,2017-08-03,1216.0
Puzzle Box Maker,Bplus,,,,,21st Dec 17,17,2017-12-21,2017-12-21,1076.0
Puzzle Puppers,Unknown,,,,,,,,,
Puzzle Quest: The Legend Returns,D3Go,,,,,19th Sep 19,19,2019-09-19,2019-09-19,439.0
Qbics Paint,Abylight,,,,,27th Jul 17,17,2017-07-27,2017-07-27,1223.0
Qbik,Forever Entertainment S.A.,,,,,18th Jan 18,18,2018-01-18,2018-01-18,1048.0
Quest of Dungeons,Upfall Studios,,,,,14th Sep 17,17,2017-09-14,2017-09-14,1174.0
R-Type Dimensions EX,Tozai Games,,,,,28th Nov 18,18,2018-11-28,2018-11-28,734.0
Rabbids: Adventure Party,Ubisoft,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Rabi-Ribi,Unknown,,,,,,,,,
RAD Read the review,Bandai Namco Entertainment,6.0,,,,20th Aug 19,19,2019-08-20,2019-08-20,469.0
Rad Rodgers Radical Edition,THQ Nordic,,,,,26th Feb 19,19,2019-02-26,2019-02-26,644.0
Radiation Island,Atypical Games,,,,,22nd Feb 18,18,2018-02-22,2018-02-22,1013.0
Radical Rabbit Stew,Unknown,,,,,,,,,
Raging Justice,Unknown,,,,,,,,,
Raging loop,Unknown,,,,,,,,,
Raiden V: Director’s Cut,UFO Interactive,,,,,25th Jul 19,19,2019-07-25,2019-07-25,495.0
Rally Racers,System 3,,,,,11th Jan 18,18,2018-01-11,2018-01-11,1055.0
Re:Turn – One Way Trip,Green Man Gaming,,,,,29th Sep 20,20,2020-09-29,2020-09-29,63.0
Realpolitiks,Jujubee S.A.,,,,,30th Aug 18,18,2018-08-30,2018-08-30,824.0
Red Faction: Guerrilla Re-Mars-tered,THQ,,,,,02nd Jul 19,19,2019-07-02,2019-07-02,518.0
Red Game Without a Great Name,iFun4all,,,,,07th Dec 17,17,2017-12-07,2017-12-07,1090.0
Red Wings: Aces of the Sky Read the review,Unknown,6.0,,,,,,,,
Reel Fishing: Road Trip Adventure,Natsume,,,,,17th Sep 19,19,2019-09-17,2019-09-17,441.0
Reigns: Kings & Queens,Devolver Digital,,,,,01st May 18,18,2018-05-01,2018-05-01,945.0
Reine des Fleurs,Idea Factory,,,,,25th Apr 19,19,2019-04-25,2019-04-25,586.0
RemiLore: Lost Girl in the Lands of Lore Read the review,Nicalis,6.0,,,,26th Feb 19,19,2019-02-26,2019-02-26,644.0
Remothered: Broken Porcelain,Modus Games,,,,,13th Oct 20,20,2020-10-13,2020-10-13,49.0
Resident Evil,Capcom,,,,,21st May 19,19,2019-05-21,2019-05-21,560.0
Resident Evil 4,Capcom,,,,,21st May 19,19,2019-05-21,2019-05-21,560.0
Resident Evil 5,Capcom,,,,,29th Oct 19,19,2019-10-29,2019-10-29,399.0
Resident Evil 6,Capcom,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
Resident Evil Zero,Capcom,,,,,21st May 19,19,2019-05-21,2019-05-21,560.0
Resident Evil: Origins Collection,Capcom,,,,,21st May 19,19,2019-05-21,2019-05-21,560.0
Resident Evil: Revelations,Capcom,,,,,30th Nov 17,17,2017-11-30,2017-11-30,1097.0
Resident Evil: Revelations 2,Capcom,,,,,28th Nov 17,17,2017-11-28,2017-11-28,1099.0
Resolutiion Read the review,Unknown,6.0,,,,,,,,
Retro City Rampage DX,Vblank Entertainment Inc.,,,,,19th Oct 17,17,2017-10-19,2017-10-19,1139.0
Return of the Obra Dinn,3909 LLC,,,,,18th Oct 19,19,2019-10-18,2019-10-18,410.0
Revenant Saga,Kemco,,,,,19th Oct 17,17,2017-10-19,2017-10-19,1139.0
Reverse Collapse: Code Name Bakery,X.D. Network Inc.,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
REZ PLZ,Long Neck Games,,,,,15th Jul 20,20,2020-07-15,2020-07-15,139.0
RICO,Rising Star Games,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
Rigid Force Redux Read the review,Unknown,7.0,,,,,,,,
Riot: Civil Unrest,Merge Games,,,,,05th Feb 19,19,2019-02-05,2019-02-05,665.0
Riptide GP: Renegade,Vector Unit,,,,,07th Dec 17,17,2017-12-07,2017-12-07,1090.0
Risk of Rain 2,Gearbox Publishing,,,,,11th Aug 20,20,2020-08-11,2020-08-11,112.0
Ritual: Crown of Horns Read the review,Unknown,5.0,,,,,,,,
RIVE: Ultimate Edition,Two Tribes,,,,,17th Nov 17,17,2017-11-17,2017-11-17,1110.0
River City Girls Read the review,WayForward Technologies,6.0,,,,05th Sep 19,19,2019-09-05,2019-09-05,453.0
River City Melee Mach!!,Arc System Works,,,,,10th Oct 19,19,2019-10-10,2019-10-10,418.0
Riverbond,Cococucumber,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
Robbotto Read the review,Unknown,4.0,,,,,,,,
Robonauts,Unknown,,,,,,,,,
Robotics;Notes DaSH,Spike Chunsoft,,,,,13th Oct 20,20,2020-10-13,2020-10-13,49.0
Robotics;Notes Elite,Spike Chunsoft,,,,,13th Oct 20,20,2020-10-13,2020-10-13,49.0
Rock 'N Racing: Off Road DX,EnjoyUp Games,,,,,09th Nov 17,17,2017-11-09,2017-11-09,1118.0
Rock of Ages II: Bigger & Boulder Read the review,Unknown,7.0,,,,,,,,
Rock of Ages III: Make & Break Read the review,Modus Games,7.0,,,,21st Jul 20,20,2020-07-21,2020-07-21,133.0
Rocket Fist,Bitten Toast Games,,,,,10th Aug 17,17,2017-08-10,2017-08-10,1209.0
Rocket Wars Read the review,Unknown,6.0,,,,,,,,
Rogue Aces Read the review,Unknown,6.0,,,,,,,,
Rogue Company,Hi-Rez Studios,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Rogue Trooper Redux,Rebellion,,,,,17th Oct 17,17,2017-10-17,2017-10-17,1141.0
Röki,CI Games,,,,,30th Dec 20,20,2020-12-30,2020-12-30,-29.0
RollerCoaster Tycoon 3: Complete Edition,Frontier Developments,,,,,24th Sep 20,20,2020-09-24,2020-09-24,68.0
RollerCoaster Tycoon Adventures,Atari,,,,,13th Dec 18,18,2018-12-13,2018-12-13,719.0
Romance of the Three Kingdoms XIII,Koei Tecmo,,,,,30th Mar 17,17,2017-03-30,2017-03-30,1342.0
Romancing SaGa 2,Square Enix,,,,,15th Dec 17,17,2017-12-15,2017-12-15,1082.0
Romancing SaGa 3,Square Enix,,,,,11th Nov 19,19,2019-11-11,2019-11-11,386.0
Root Double: Before Crime * After Days,Sekai Project,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Root Film,Kadokawa Games,,,,,30th Jul 20,20,2020-07-30,2020-07-30,124.0
Root Letter: Last Answer,Kadokawa Games,,,,,03rd Sep 19,19,2019-09-03,2019-09-03,455.0
Roots of Pacha,Crytivo Games,,,,,01st Dec 21,21,2021-12-01,2021-12-01,-365.0
Runbow,Headup Games,,,,,14th Jun 18,18,2018-06-14,2018-06-14,901.0
Rune Factory 4 Special,Marvelous Entertainment,,,,,31st Dec 20,20,2020-12-31,2020-12-31,-30.0
Rune Factory 5,Marvelous Entertainment,,,,,31st Dec 20,20,2020-12-31,2020-12-31,-30.0
RXN: Raijin,KAYAC,,,,,14th Dec 17,17,2017-12-14,2017-12-14,1083.0
Saints Row: The Third - The Full Package,Deep Silver,,,,,10th May 19,19,2019-05-10,2019-05-10,571.0
Sakuna: Of Rice and Ruin Read the review,Xseed Games,8.0,,,,10th Nov 20,20,2020-11-10,2020-11-10,21.0
Samurai Aces,Zerodiv,,,,,15th Feb 18,18,2018-02-15,2018-02-15,1020.0
Samurai Jack: Battle Through Time,Adult Swim,,,,,21st Aug 20,20,2020-08-21,2020-08-21,102.0
Samurai Shodown,SNK,,,,,25th Feb 20,20,2020-02-25,2020-02-25,280.0
Samurai Warriors 4 DX,Koei Tecmo,,,,,14th Mar 19,19,2019-03-14,2019-03-14,628.0
Sausage Sports Club,Luckshot Games,,,,,01st Sep 18,18,2018-09-01,2018-09-01,822.0
Save me Mr Tako: Tasukete Tako-San Read the review,Nicalis,5.0,,,,30th Oct 18,18,2018-10-30,2018-10-30,763.0
Sayonara Wild Hearts,Annapurna Interactive,,,,,19th Sep 19,19,2019-09-19,2019-09-19,439.0
Schlag den Star,bitComposer Games,,,,,29th Sep 17,17,2017-09-29,2017-09-29,1159.0
Scott Pilgrim vs. the World: The Game - Complete Edition,Ubisoft,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
SD Gundam G Generation Cross Rays,Unknown,,,,,,,,,
SEGA AGES G-LOC: Air Battle Read the review,Unknown,7.0,,,,,,,,
SEGA AGES Herzog Zwei Read the review,Unknown,7.0,,,,,,,,
SEGA Ages Sonic the Hedgehog 2,Unknown,,,,,,,,,
SEGA AGES Thunder Force AC Read the review,Unknown,8.0,,,,,,,,
SEGA Ages: Alex Kidd in Miracle World,Unknown,,,,,,,,,
SEGA Ages: Gain Ground,Unknown,,,,,,,,,
SEGA Ages: Phantasy Star,Unknown,,,,,,,,,
SEGA Ages: Puyo Puyo,Sega,,,,,22nd Aug 19,19,2019-08-22,2019-08-22,467.0
SEGA Ages: Sonic the Hedgehog,Sega,,,,,20th Sep 18,18,2018-09-20,2018-09-20,803.0
SEGA Ages: Space Harrier,Sega,,,,,22nd Aug 19,19,2019-08-22,2019-08-22,467.0
SEGA Ages: Thunder Force IV,Unknown,,,,,,,,,
Sega Ages: Virtua Racing,Sega,,,,,25th Apr 19,19,2019-04-25,2019-04-25,586.0
Semblance,Unknown,,,,,,,,,
Semispheres,Vivid Helix,,,,,03rd Mar 17,17,2017-03-03,2017-03-03,1369.0
Senran Kagura Reflexions,Xseed Games,,,,,13th Sep 18,18,2018-09-13,2018-09-13,810.0
Senran Kagura: Peach Ball,Xseed Games,,,,,09th Jul 19,19,2019-07-09,2019-07-09,511.0
Sentinels of Freedom Read the review,Unknown,4.0,,,,,,,,
Sephirothic Stories,Kemco,,,,,04th Apr 19,19,2019-04-04,2019-04-04,607.0
Serial Cleaner,Curve Digital,,,,,30th Nov 17,17,2017-11-30,2017-11-30,1097.0
Severed,DrinkBox Studios,,,,,08th Aug 17,17,2017-08-08,2017-08-08,1211.0
Shadow Bug,Muro Studios,,,,,30th Mar 18,18,2018-03-30,2018-03-30,977.0
Shadowverse: Champion's Battle,Cygames,,,,,05th Nov 20,20,2020-11-05,2020-11-05,26.0
Shakedown Hawaii Read the review,Vblank Entertainment Inc.,7.0,,,,07th May 19,19,2019-05-07,2019-05-07,574.0
Shantae,Unknown,,,,,,,,,
Shantae and the Pirate's Curse,WayForward,,,,,20th Mar 18,18,2018-03-20,2018-03-20,987.0
Shantae and the Seven Sirens Read the review,WayForward,7.0,,,,28th May 20,20,2020-05-28,2020-05-28,187.0
Shantae: Risky's Revenge Read the review,WayForward Technologies,7.0,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
She Remembered Caterpillars,Ysbryd Games,,,,,28th Mar 19,19,2019-03-28,2019-03-28,614.0
Shephy,Arc System Works,,,,,06th Jul 17,17,2017-07-06,2017-07-06,1244.0
Shibito Magire,Experience Inc.,,,,,01st Dec 21,21,2021-12-01,2021-12-01,-365.0
Shiftlings - Enhanced Edition Read the review,Unknown,5.0,,,,,,,,
Shin Hayarigami 1 and 2 Pack,Nippon Ichi Software,,,,,18th Jul 19,19,2019-07-18,2019-07-18,502.0
Shin Megami Tensei III: Nocturne HD Remaster,Atlus,,,,,31st Mar 21,21,2021-03-31,2021-03-31,-120.0
Shin Megami Tensei V,Atlus,,,,,31st Dec 21,21,2021-12-31,2021-12-31,-395.0
Shinsekai: Into the Depths Read the review,Unknown,7.0,,,,,,,,
Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,Aksys Games,,,,,02nd Dec 20,20,2020-12-02,2020-12-02,-1.0
Shovel Knight Showdown Read the review,Unknown,6.0,,,,,,,,
Shovel Knight: King of Cards Read the review,Unknown,8.0,,,,,,,,
Shovel Knight: Specter of Torment,Yacht Club Games,,,,,03rd Mar 17,17,2017-03-03,2017-03-03,1369.0
Shu,Coatsink Software,,,7.5,,23rd Jan 18,18,2018-01-23,2018-01-23,1043.0
Sir Eatsalot,EastAsiaSoft,,,,,09th Jan 20,20,2020-01-09,2020-01-09,327.0
Skies of Fury DX,Illumination Games,,,,,12th Apr 18,18,2018-04-12,2018-04-12,964.0
Skully Read the review,Unknown,5.0,,,,,,,,
Sky Force Anniversary,Infinite Dreams Inc.,,,,,08th Nov 18,18,2018-11-08,2018-11-08,754.0
Sky Force Reloaded Read the review,Infinite Dreams Inc.,6.0,,,,01st Feb 18,18,2018-02-01,2018-02-01,1034.0
Sky Ride,MUTAN,,,,,17th Aug 17,17,2017-08-17,2017-08-17,1202.0
SlabWell: The Quest For Kaktun's Alpaca,Undergames,,,,,17th Apr 19,19,2019-04-17,2019-04-17,594.0
Slain: Back From Hell,Digerati,,,,,07th Dec 17,17,2017-12-07,2017-12-07,1090.0
Slam Land,Unknown,,,,,,,,,
Slay the Spire,Mega Crit Games,,,,,06th Jun 19,19,2019-06-06,2019-06-06,544.0
Slayaway Camp: Butcher's Cut,Digerati,,,8.9,,22nd Mar 18,18,2018-03-22,2018-03-22,985.0
Slayin 2 Read the review,Unknown,7.0,,,,,,,,
Slime-san,Fabraz,,,,,03rd Aug 17,17,2017-08-03,2017-08-03,1216.0
Sling Ming,Good Night Brave Warrior,,,,,05th Apr 18,18,2018-04-05,2018-04-05,971.0
Smoke and Sacrifice Read the review,Unknown,6.0,,,,,,,,
Snake Pass,Sumo Digital,,,,,28th Mar 17,17,2017-03-28,2017-03-28,1344.0
